Name,Location,Year established,Area in acres
Acadia National Park,Maine,1919,49076.63
National Park of American Samoa,American Samoa,1988,8256.67
Arches National Park,Utah,1971,76678.98
Badlands National Park,South Dakota,1978,242755.94
Big Bend National Park,Texas,1944,801163.21
Biscayne National Park,Florida,1980,172971.11
Black Canyon of the Gunnison National Park,Colorado,1999,30779.83
Bryce Canyon National Park,Utah,1928,35835.08
Canyonlands National Park,Utah,1964,337597.83
Capitol Reef National Park,Utah,1971,241904.50
Carlsbad Caverns National Park,New Mexico,1930,46766.45
Channel Islands National Park,California,1980,249561.00
Congaree National Park,South Carolina,2003,26476.47
Crater Lake National Park,Oregon,1902,183224.05
Cuyahoga Valley National Park,Ohio,2000,32571.88
Death Valley National Park,"California, Nevada",1994,3408395.63
Denali National Park,Alaska,1917,4740911.16
Dry Tortugas National Park,Florida,1992,64701.22
Everglades National Park,Florida,1947,1508938.57
Gates of the Arctic National Park,Alaska,1980,7523897.45
Gateway Arch National Park,Missouri,2018,192.83
Glacier National Park (part of Waterton-Glacier International Peace Park),Montana,1910,1013126.39
Glacier Bay National Park,Alaska,1980,3223383.43
Grand Canyon National Park,Arizona,1919,1201647.03
Grand Teton National Park,Wyoming,1929,310044.36
Great Basin National Park,Nevada,1986,77180.00
Great Sand Dunes National Park,Colorado,2004,107341.87
Great Smoky Mountains National Park,"North Carolina, Tennessee",1934,522426.88
Guadalupe Mountains National Park,Texas,1966,86367.10
Haleakala National Park,Hawaii,1916,33264.62
Hawaii Volcanoes National Park,Hawaii,1916,325605.28
Hot Springs National Park,Arkansas,1921,5554.15
Indiana Dunes National Park,Indiana,2019,15349.08
Isle Royale National Park,Michigan,1940,571790.30
Joshua Tree National Park,California,1994,795155.85
Katmai National Park,Alaska,1980,3674529.33
Kenai Fjords National Park,Alaska,1980,669650.05
Kings Canyon National Park,California,1940,461901.20
Kobuk Valley National Park,Alaska,1980,1750716.16
Lake Clark National Park,Alaska,1980,2619816.49
Lassen Volcanic National Park,California,1916,106589.02
Mammoth Cave National Park,Kentucky,1941,54011.91
Mesa Verde National Park,Colorado,1906,52485.17
Mount Rainier National Park,Washington,1899,236381.64
New River Gorge National Park and Preserve,West Virginia,2020,72185.76
North Cascades National Park,Washington,1968,504780.94
Olympic National Park,Washington,1938,922649.41
Petrified Forest National Park,Arizona,1962,221390.21
Pinnacles National Park,California,2013,26685.73
Redwood National and State Parks,California,1968,138999.37
Rocky Mountain National Park,Colorado,1915,265807.25
Saguaro National Park,Arizona,1994,92867.42
Sequoia National Park,California,1890,404062.63
Shenandoah National Park,Virginia,1935,199223.77
Theodore Roosevelt National Park,North Dakota,1978,70446.89
Virgin Islands National Park,U.S. Virgin Islands,1956,15052.33
Voyageurs National Park,Minnesota,1975,218222.35
White Sands National Park,New Mexico,2019,146344.31
Wind Cave National Park,South Dakota,1903,33970.84
Wrangell–St. Elias National Park,Alaska,1980,8323146.48
Yellowstone National Park,"Idaho, Montana, Wyoming",1872,2219790.71
Yosemite National Park,California,1890,761747.50
Zion National Park,Utah,1919,147242.66
